["Aca2demy_Awar*ds","cou$ntry","United States"]
["Academy_Awards","description","Excellence in cinematic achievements"]
["Academy_Awards","next","89"]
["Alaska","width","3639"]
["Alaska","timezone","Hawaii-Aleutian_Standard_Time"]
["Alaska","tz2where","1800.0"]
["Alaska","senators","Lisa_Murkowski"]
["Alaska","nickname","The Last Frontier"]
["Alaska","landareaus","571951"]
["Alaska","senators","Dan Sullivan"]
["Alaska","north",","]
["Alaska","west","Bering Strait"]
["Alaska","totalareaus","663268"]
["Alaska","arearank","1.0"]
["Alaska","title","List_of_U.S._states_by_date_of_admission_to_the_Union"]
["Alaska","highestelevus","20310"]
["Alaska","northwest","Chukchi_Sea"]
["Alaska","admittancedate","1959-01-03"]
["Alaska","timezone","Alaska_Standard_Time"]
["Alaska","meanelev","580"]
["Alaska","years","--01-03"]
["Alaska","lengthus","1420"]
["Alaska","highestpoint","Denali"]
["Alaska","flag","Flag of Alaska.svg"]
["Alaska","southeast",","]
["Alaska","southwest",","]
["Alaska","longitude","130"]
["Alaska","timezone","Hawaii-Aleutian_Time_Zone"]
["Alaska","lowerhouse","Alaska_House_of_Representatives"]
["Alaska","waterareaus","91316"]
["Alaska","isocode","US-AK"]
["Alaska","northeast","and ,"]
["Alaska","former","Territory of Alaska"]
["Alaska","tz1where","1800.0"]
["Alaska","seal","Alaska-StateSeal.svg"]
["Alaska","name","Alaska"]
["Alaska","latitude","51"]
["Alaska","densityus","1.26"]
["Alaska","length","2285"]
["Alaska","representative","Don Young"]
["Alaska","northwest",","]
["Alaska","south","Pacific_Ocean"]
["Alaska","stateanthem","s_Flag"]
["Alaska","admittanceorder","49"]
["Alaska","densityrank","50"]
["Alaska","poprank","48"]
["Alaska","governor","Bill Walker"]
["Alaska","widthus","2261"]
["Alaska","density","0.49"]
["Alaska","meanelevus","1900"]
["Alaska","timezone","Alaska_Time_Zone"]
["Alaska","southwest","Bering_Sea"]
["Alaska","lieutenantGovernor","Byron Mallott"]
["Alaska","postalabbreviation","AK"]
["Alaska","legislature","Alaska_Legislature"]
["Alaska","motto","North to the Future"]
["Alaska","medianhouseholdincome","64333.0"]
["Alaska","pcwater","13.77"]
["Alaska","pop","738432"]
["Alaska","east",","]
["Alaska","centre",": Outline • Index"]
["Alaska","west","Pacific Ocean"]
["Alaska","north","Arctic Ocean"]
["Alaska","southwest","Pacific Ocean"]
["Alaska","website","www.alaska.gov"]
["Alaska","west",", and ,"]
["Alaska","northeast","Beaufort_Sea"]
["Alaska","id","gov.archives.arc.649115"]
["Alaska","lowestelevus","0"]
["Alaska","timezone","Alaska_Daylight_Time"]
["Alaska","timezone","Coordinated_Universal_Time"]
["Alaska","incomerank","4"]
["Alaska","timezone","Hawaii-Aleutian_Daylight_Time"]
["Alaska","upperhouse","Alaska_Senate"]
["Alaska","flaglink","Flag_of_Alaska"]
["Alabama","governor","Robert J. Bentley"]
["Alabama","fish","Atlantic_tarpon"]
["Alabama","waterareaus","1675"]
["Alabama","bird","Northern_flicker"]
["Alabama","representative","6"]
["Alabama","slogan","Alabama the beautiful,"]
["Alabama","flag","Flag of Alabama.svg"]
["Alabama","senators","Jeff_Sessions"]
["Alabama","other","Racking_horse"]
["Alabama","timezone","Eastern_Time_Zone"]
["Alabama","mineral","Hematite"]
["Alabama","landareaus","50744"]
["Alabama","slogan","Sweet Home Alabama,"]
["Alabama","butterfly","Eastern_tiger_swallowtail"]
["Alabama","soil",""]
["Alabama","colors","Red, white"]
["Alabama","song","\"Alabama\""]
["Alabama","latitude","30"]
["Alabama","flower","Hydrangea_quercifolia"]
["Alabama","align","right"]
["Alabama","food","Blackberry"]
["Alabama","coatOfArms","Alabama-COA.png"]
["Alabama","former","Alabama Territory"]
["Alabama","website","Alabama.gov"]
["Alabama","upperhouse","Senate R-25, D-8"]
["Alabama","pcwater","3.2"]
["Alabama","insect","Monarch_butterfly"]
["Alabama","length","531"]
["Alabama","fish","Largemouth_bass"]
["Alabama","timezone","Coordinated_Universal_Time"]
["Alabama","centre",": Outline • Index"]
["Alabama","languages","(As of 2010) *English 95.1% *Spanish 3.1%"]
["Alabama","years","--12-14"]
["Alabama","admittanceorder","22"]
["Alabama","motto","We dare defend our rights"]
["Alabama","timezone",""]
["Alabama","largestcounty","_Alabama"]
["Alabama","bird","Wild_turkey"]
